title,subject1,subject2,subjectsDVD,dateExpression,dateBegin,agentRole1,agentRelator1,agentRef1,agentRole2and3,agentRelator2and3,agentRef2,agentRef3,Box1,Disc1,Box2,Disc2,Box3,Disc3,digitalObjectID,notes
Advanced Academic Programs: Associate Dean Sarah Steinberg portrait,/subjects/836,/subjects/944,/subjects/138,2006 February 28,2006-02-28,creator,pht,/agents/corporate_entities/388,creator,spn,/agents/corporate_entities/291,,9,100258,,,,,20060228_advancedAcademic_photos,EXAMPLE ENTRY - DELETE
Development and Alumni Relations: Constellation,,,/subjects/138,2006 October 6,2006-10-06,creator,pht,/agents/corporate_entities/388,creator,spn,/agents/corporate_entities/13,,15,"100576-100577, 100579",16,100645-100646,,,20061006_alumni_constellation,EXAMPLE ENTRY - DELETE
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
